id,name,discount_policy,sequence,currency_id/id,item_ids/applied_on,item_ids/base,item_ids/compute_price,item_ids/min_quantity,item_ids/fixed_price,item_ids/product_tmpl_id/id
,,,,,Product,Public Price,Fix Price,1,35000,hsc_ORL1022
,,,,,Product,Public Price,Fix Price,1,35000,hsc_ORL1023
,,,,,Product,Public Price,Fix Price,1,30000,hsc_ORL1024
,,,,,Product,Public Price,Fix Price,1,25000,hsc_ORL1025
,,,,,Product,Public Price,Fix Price,1,25000,hsc_ORL1026
,,,,,Product,Public Price,Fix Price,1,25000,hsc_ORL1027
,,,,,Product,Public Price,Fix Price,1,30000,hsc_ORL1028
,,,,,Product,Public Price,Fix Price,1,35000,hsc_ORL1029
,,,,,Product,Public Price,Fix Price,1,25000,hsc_CHG1001
,,,,,Product,Public Price,Fix Price,1,25000,hsc_CHG1002
,,,,,Product,Public Price,Fix Price,1,35000,hsc_CHG1003
,,,,,Product,Public Price,Fix Price,1,25000,hsc_CHG1004
,,,,,Product,Public Price,Fix Price,1,25000,hsc_CHG1005
,,,,,Product,Public Price,Fix Price,1,25000,hsc_CHG1006
,,,,,Product,Public Price,Fix Price,1,40000,hsc_CHG1007
,,,,,Product,Public Price,Fix Price,1,25000,hsc_CHG1008
,,,,,Product,Public Price,Fix Price,1,25000,hsc_CHG1009
,,,,,Product,Public Price,Fix Price,1,25000,hsc_CHG1010
,,,,,Product,Public Price,Fix Price,1,40000,hsc_CHG1011
,,,,,Product,Public Price,Fix Price,1,40000,hsc_CHG1012
,,,,,Product,Public Price,Fix Price,1,25000,hsc_CHG1013
,,,,,Product,Public Price,Fix Price,1,60000,hsc_CHG1014
,,,,,Product,Public Price,Fix Price,1,45000,hsc_CHG1015
,,,,,Product,Public Price,Fix Price,1,25000,hsc_CHG1016
,,,,,Product,Public Price,Fix Price,1,45000,hsc_CHG1017
,,,,,Product,Public Price,Fix Price,1,25000,hsc_CHG1018
,,,,,Product,Public Price,Fix Price,1,30000,hsc_CHG1019
,,,,,Product,Public Price,Fix Price,1,25000,hsc_CHG1020
,,,,,Product,Public Price,Fix Price,1,30000,hsc_CHG1021
,,,,,Product,Public Price,Fix Price,1,40000,hsc_CHG1022
,,,,,Product,Public Price,Fix Price,1,30000,hsc_CHG1023
,,,,,Product,Public Price,Fix Price,1,35000,hsc_CHG1024
,,,,,Product,Public Price,Fix Price,1,40000,hsc_CHG1025
,,,,,Product,Public Price,Fix Price,1,50000,hsc_CHG1026
,,,,,Product,Public Price,Fix Price,1,45000,hsc_CHG1027
